tweet,label,id,preprocessed_text
"India's gift of 100,000 COVID-19 vaccines arrived Barbados earlier today. This was a very special moment for all Barbadians and I want to thank Prime Minister Modi for his quick, decisive, and magnanimous action in allowing us to be the beneficiary of these vaccines. https://t.co/cSCb40c2mt",0,0,india gift vaccines arrived barbados earlier today special moment barbarians want thank prime minister modi quick decisive magnanimous action allowing us beneficiary vaccines https
"As part of the ongoing nationwide vaccination rollout that has seen more than 230,000 people vaccinated, President Kagame and First Lady Jeannette Kagame received their #COVID-19 vaccines at King Faisal Hospital. https://t.co/OylatTad9W",0,1,part ongoing nationwide vaccination rollout seen people fascinated president game first lady jeannette game received vaccines king final hospital https
"Pleased to receive 50,000 doses of Covid-19 vaccines from India 🇮🇳this morning. Govt of Rwanda 🇷🇼 is grateful to the Govt of India 🇮🇳 and other partner countries for their valuable contribution to the fight against #COVID19 @DrSJaishankar",0,2,pleased receive doses vaccines india morning govt rwanda grateful govt india partner countries valuable contribution fight covid19 drsjaishankar
Four former presidents have banded together for two national ad campaigns released Thursday designed to drive trust in COVID-19 vaccines — and they're all pictured getting inoculated against the virus https://t.co/nG9V6jalhl,0,3,four former presidents banded together two national ad campaigns released thursday designed drive trust vaccines pictured getting insulated virus https
"WSJ: All three of Russia's main intelligence services (SVR, FSB, and GRU) ran fake news sites and phony social media accounts to spread misinformation about Pfeizer and Moderna vaccines in an attempt to undermine confidence in them. https://t.co/t3kmCYvBFs via @WSJ",1,4,wsj three russia main intelligence services sr fsb ru ran fake news sites phony social media accounts spread misinformation pfeizer modern vaccines attempt undermine confidence https via wsj
Joel Embiid will donate his $100K ASW earnings to three homeless shelters in Philly to help provide: -Meals -Clothing items -Treatment and care for those who get COVID-19 vaccines -Funds for a summer camp -Shelter for 300+ teens -Support for formerly homeless families 🙏 https://t.co/MlYyAC3E8j,0,5,joel embed donate 100k as earnings three homeless shelters philly help provide items care get vaccines summer camp teens formerly homeless families https
“Action can be taken now to ensure that Canada can produce its own vaccines without the need to solely rely on international partners.” @Mossmanlab makes the case for @MacGlobalNexus Fitzhenry Vector Lab to produce COVID-19 vaccine doses for all Canadians. https://t.co/J3Nvb5faq6,0,6,action taken ensure canada produce vaccines without need solely rely international mossmanlab makes case macglobalnexus fitzhenry vector lab produce vaccine doses canadian https
Those who falsely claim Vaccines are 100% safe and who laugh at anti-vaxxers will be dependent on those who refuse to tell the official lies to say that wide-spread vaccination *is* critical. 23 die in Norway after receiving COVID-19 vaccine: https://t.co/eN10HwZvqW via @nypost,1,7,falsely claim vaccines 100 safe laugh dependent refuse tell official lies say vaccination critical 23 die norway receiving vaccine https via nypost
"Additionally, beginning Monday, April 5, all Michiganders age 16+ who were not previously eligible will be eligible to receive a vaccine. This is exciting news, and I urge all eligible Michiganders to get one of the three safe and effective COVID-19 vaccines.",0,8,additionally beginning monday april 5 michiganders age previously eligible eligible receive vaccine exciting news urge eligible michiganders get one three safe effective vaccines
The EU and Italy have blocked AstraZeneca’s COVID-19 vaccine shipment destined for Australia after the drug manufacturer failed to deliver the doses it promised Europe. https://t.co/GEMOlMwhkW,0,9,eu italy blocked astrazeneca vaccine shipment destined australia drug manufacturer failed deliver doses promised europe https
